dataelement,shortname,code,dataelementuid,dataelementdesc
"TB_ART (N, TA, Aggregated Age/Sex) TARGET: TB/HIV on ART","TB_ART (N, TA, Aggregated Age/Sex) TARGET",TB_ART_N_TA_Aggregated_Age_Sex_TARGET,I5DgueoMGvv,"Number of TB cases with documented HIV-positive status who start or continue ART during the reporting period."
"TB_ART (N, TA) TARGET: TB/HIV on ART","TB_ART (N, TA) TARGET",TB_ART_N_TA_TARGET,Gw52p9tcEGu,"Number of TB cases with documented HIV-positive status who start or continue ART during the reporting period."
"TB_PREV (D, DSD, Aggregated Age/Sex) TARGET: IPT","TB_PREV (D, DSD, Aggregated Age/Sex) TARGET",TB_PREV_D_DSD_Aggregated_Age_Sex_TARGET,BN0KwIIiNf1,"Number of ART patients who were newly started on TB preventive therapy (including those who newly started on TB preventive therapy in this reporting period and those who started in the pervious reporting period but had not fulfilled the minimum requirements for the previous reporting period)"
"TB_PREV (D, DSD) TARGET: IPT","TB_PREV (D, DSD) TARGET",TB_PREV_D_DSD_TARGET,ExN4tJjsjQ5,"Number of ART patients who were newly started on TB preventive therapy (including those who newly started on TB preventive therapy in this reporting period and those who started in the pervious reporting period but had not fulfilled the minimum requirements for the previous reporting period)"
"TB_PREV (D, DSD, TherapyType) TARGET: IPT","TB_PREV (D, DSD, TherapyType) TARGET",TB_PREV_D_DSD_TherapyType_TARGET,O6nxTCFJ9Ud,"Number of ART patients who were newly started on TB preventive therapy (including those who newly started on TB preventive therapy in this reporting period and those who started in the pervious reporting period but had not fulfilled the minimum requirements for the previous reporting period)"
"TB_PREV (D, TA, Aggregated Age/Sex) TARGET: IPT","TB_PREV (D, TA, Aggregated Age/Sex) TARGET",TB_PREV_D_TA_Aggregated_Age_Sex_TARGET,sRDb78CxIGH,"Number of ART patients who were newly started on TB preventive therapy (including those who newly started on TB preventive therapy in this reporting period and those who started in the pervious reporting period but had not fulfilled the minimum requirements for the previous reporting period)"
"TB_PREV (D, TA) TARGET: IPT","TB_PREV (D, TA) TARGET",TB_PREV_D_TA_TARGET,vc5TCuA6hIy,"Number of ART patients who were newly started on TB preventive therapy (including those who newly started on TB preventive therapy in this reporting period and those who started in the pervious reporting period but had not fulfilled the minimum requirements for the previous reporting period)"
"TB_PREV (D, TA, TherapyType) TARGET: IPT","TB_PREV (D, TA, TherapyType) TARGET",TB_PREV_D_TA_TherapyType_TARGET,XpnNyhD7yYa,"Number of ART patients who were newly started on TB preventive therapy (including those who newly started on TB preventive therapy in this reporting period and those who started in the pervious reporting period but had not fulfilled the minimum requirements for the previous reporting period)"
"TB_PREV (N, DSD, Aggregated Age/Sex) TARGET: IPT","TB_PREV (N, DSD, Aggregated Age/Sex) TARGET",TB_PREV_N_DSD_Aggregated_Age_Sex_TARGET,rmRqwGJz2wx,"Number of ART patients who completed a course of TB preventive therapy or at least 6 months of Isoniazid Preventive Therapy (IPT) during the reporting period"
"TB_PREV (N, DSD) TARGET: IPT","TB_PREV (N, DSD) TARGET",TB_PREV_N_DSD_TARGET,abYL1NgxC6z,"Number of ART patients who completed a course of TB preventive therapy or at least 6 months of Isoniazid Preventive Therapy (IPT) during the reporting period"
"TB_PREV (N, DSD, TherapyType) TARGET: IPT","TB_PREV (N, DSD, TherapyType) TARGET",TB_PREV_N_DSD_TherapyType_TARGET,xP8qcHWwwdu,"Number of ART patients who completed a course of TB preventive therapy or at least 6 months of Isoniazid Preventive Therapy (IPT) during the reporting period"
"TB_PREV (N, TA, Aggregated Age/Sex) TARGET: IPT","TB_PREV (N, TA, Aggregated Age/Sex) TARGET",TB_PREV_N_TA_Aggregated_Age_Sex_TARGET,AcQHZVQ9fkv,"Number of ART patients who completed a course of TB preventive therapy or at least 6 months of Isoniazid Preventive Therapy (IPT) during the reporting period"
"TB_PREV (N, TA) TARGET: IPT","TB_PREV (N, TA) TARGET",TB_PREV_N_TA_TARGET,VcEPWjowLPC,"Number of ART patients who completed a course of TB preventive therapy or at least 6 months of Isoniazid Preventive Therapy (IPT) during the reporting period"
"TB_PREV (N, TA, TherapyType) TARGET: IPT","TB_PREV (N, TA, TherapyType) TARGET",TB_PREV_N_TA_TherapyType_TARGET,DUtx9BUOy02,"Number of ART patients who completed a course of TB preventive therapy or at least 6 months of Isoniazid Preventive Therapy (IPT) during the reporting period"
"TB_STAT (D, DSD, Aggregated Age/Sex) TARGET: New/Relapsed TB","TB_STAT (D, DSD, Aggregated Age/Sex) TARGET",TB_STAT_D_DSD_Aggregated_Age_Sex_TARGET,eeYmLTvWk8k,"Total number of new and relapsed TB cases, during the reporting period."
"TB_STAT (D, DSD) TARGET: New/Relapsed TB","TB_STAT (D, DSD) TARGET",TB_STAT_D_DSD_TARGET,KcL9aEzkodz,"Total number of new and relapsed TB cases, during the reporting period."
"TB_STAT (D, TA, Aggregated Age/Sex) TARGET: New/Relapsed TB","TB_STAT (D, TA, Aggregated Age/Sex) TARGET",TB_STAT_D_TA_Aggregated_Age_Sex_TARGET,OLbVI34nrpu,"Total number of new and relapsed TB cases, during the reporting period."
"TB_STAT (D, TA) TARGET: New/Relapsed TB","TB_STAT (D, TA) TARGET",TB_STAT_D_TA_TARGET,fpaJtBFgRjs,"Total number of new and relapsed TB cases, during the reporting period."
"TB_STAT (N, DSD, Aggregated Age/Sex) TARGET: New/Relapsed TB","TB_STAT (N, DSD, Aggregated Age/Sex) TARGET",TB_STAT_N_DSD_Aggregated_Age_Sex_TARGET,L5deTX4oKDI,"Number of new and relapsed TB cases with documented HIV status, during the reporting period."
"TB_STAT (N, DSD) TARGET: New/Relapsed TB","TB_STAT (N, DSD) TARGET",TB_STAT_N_DSD_TARGET,SZ0vEYFiYxB,"Number of new and relapsed TB cases with documented HIV status, during the reporting period."
"TB_STAT (N, TA, Aggregated Age/Sex) TARGET: New/Relapsed TB","TB_STAT (N, TA, Aggregated Age/Sex) TARGET",TB_STAT_N_TA_Aggregated_Age_Sex_TARGET,XLZji8BG0AM,"Number of new and relapsed TB cases with documented HIV status, during the reporting period."
"TB_STAT (N, TA) TARGET: New/Relapsed TB","TB_STAT (N, TA) TARGET",TB_STAT_N_TA_TARGET,HqZeNMok1zx,"Number of new and relapsed TB cases with documented HIV status, during the reporting period."
"TX_CURR (N, DSD, AgeAboveTen/Sex) TARGET: Receiving ART","TX_CURR (N, DSD, Age>10/Sex) TARGET",TX_CURR_N_DSD_Agegt10_Sex_TARGET,p6pB3wTnJlj,"Number of adults and children currently receiving antiretroviral therapy (ART)"
"TX_CURR (N, DSD, AgeLessThanTen) TARGET: Receiving ART","TX_CURR (N, DSD, Age<10) TARGET",TX_CURR_N_DSD_Agelt10_TARGET,fEzdLhyNKox,"Number of adults and children currently receiving antiretroviral therapy (ART)"
"TX_CURR (N, DSD, Aggregated Age/Sex) TARGET: Receiving ART","TX_CURR (N, DSD, Aggregated Age/Sex) TARGET",TX_CURR_N_DSD_Aggregated_Age_Sex_TARGET,Aw0GIXTFDxa,"Number of adults and children currently receiving antiretroviral therapy (ART)"
"TX_CURR (N, DSD) TARGET: Receiving ART","TX_CURR (N, DSD) TARGET",TX_CURR_N_DSD_TARGET,f9BaCsI9PGn,"Number of adults and children currently receiving antiretroviral therapy (ART)"
"TX_CURR (N, TA, AgeAboveTen/Sex) TARGET: Receiving ART","TX_CURR (N, TA, Age>10/Sex) TARGET",TX_CURR_N_TA_Agegt10_Sex_TARGET,DcIt1phvYrU,"Number of adults and children currently receiving antiretroviral therapy (ART)"
"TX_CURR (N, TA, AgeLessThanTen) TARGET: Receiving ART","TX_CURR (N, TA, Age<10) TARGET",TX_CURR_N_TA_Agelt10_TARGET,fC6MOF5pMPr,"Number of adults and children currently receiving antiretroviral therapy (ART)"
"TX_CURR (N, TA, Aggregated Age/Sex) TARGET: Receiving ART","TX_CURR (N, TA, Aggregated Age/Sex) TARGET",TX_CURR_N_TA_Aggregated_Age_Sex_TARGET,lVldbk2L247,"Number of adults and children currently receiving antiretroviral therapy (ART)"
"TX_CURR (N, TA) TARGET: Receiving ART","TX_CURR (N, TA) TARGET",TX_CURR_N_TA_TARGET,jPjgIrMLEVx,"Number of adults and children currently receiving antiretroviral therapy (ART)"
"TX_NEW (N, DSD, AgeAboveTen/Sex) TARGET: New on ART","TX_NEW (N, DSD, Age>10/Sex) TARGET",TX_NEW_N_DSD_Agegt10_Sex_TARGET,n0QmCvMMAIl,"Number of adults and children newly enrolled on antiretroviral therapy (ART)"
"TX_NEW (N, DSD, AgeLessThanTen) TARGET: New on ART","TX_NEW (N, DSD, Age<10) TARGET",TX_NEW_N_DSD_Agelt10_TARGET,FsSdbyAceqn,"Number of adults and children newly enrolled on antiretroviral therapy (ART)"
"TX_NEW (N, DSD, Aggregated Age/Sex) TARGET: New on ART","TX_NEW (N, DSD, Aggregated Age/Sex) TARGET",TX_NEW_N_DSD_Aggregated_Age_Sex_TARGET,Mq87amcE096,"Number of adults and children newly enrolled on antiretroviral therapy (ART)"
"TX_NEW (N, DSD, KeyPop) TARGET: New on ART","TX_NEW (N, DSD, KeyPop) TARGET",TX_NEW_N_DSD_KeyPop_TARGET,nHmxxMx16zF,"Number of adults and children newly enrolled on antiretroviral therapy (ART)"
"TX_NEW (N, DSD, Preg/Feeding) TARGET: New on ART","TX_NEW (N, DSD, Preg/Feeding) TARGET",TX_NEW_N_DSD_Preg_Feeding_TARGET,TUsvFwgyp7b,"Number of adults and children newly enrolled on antiretroviral therapy (ART)"
"TX_NEW (N, DSD) TARGET: New on ART","TX_NEW (N, DSD) TARGET",TX_NEW_N_DSD_TARGET,oVnEYC2i59j,"Number of adults and children newly enrolled on antiretroviral therapy (ART)"
"TX_NEW (N, TA, AgeAboveTen/Sex) TARGET: New on ART","TX_NEW (N, TA, Age>10/Sex) TARGET",TX_NEW_N_TA_Agegt10_Sex_TARGET,iYYZrNuuU2A,"Number of adults and children newly enrolled on antiretroviral therapy (ART)"
"TX_NEW (N, TA, AgeLessThanTen) TARGET: New on ART","TX_NEW (N, TA, Age<10) TARGET",TX_NEW_N_TA_Agelt10_TARGET,Ph44Tk2cODW,"Number of adults and children newly enrolled on antiretroviral therapy (ART)"
"TX_NEW (N, TA, Aggregated Age/Sex) TARGET: New on ART","TX_NEW (N, TA, Aggregated Age/Sex) TARGET",TX_NEW_N_TA_Aggregated_Age_Sex_TARGET,vF0WccvoSWd,"Number of adults and children newly enrolled on antiretroviral therapy (ART)"
"TX_NEW (N, TA, KeyPop) TARGET: New on ART","TX_NEW (N, TA, KeyPop) TARGET",TX_NEW_N_TA_KeyPop_TARGET,MX0evKu26AF,"Number of adults and children newly enrolled on antiretroviral therapy (ART)"
"TX_NEW (N, TA, Preg/Feeding) TARGET: New on ART","TX_NEW (N, TA, Preg/Feeding) TARGET",TX_NEW_N_TA_Preg_Feeding_TARGET,Sdd32Xz5nfH,"Number of adults and children newly enrolled on antiretroviral therapy (ART)"
"TX_NEW (N, TA) TARGET: New on ART","TX_NEW (N, TA) TARGET",TX_NEW_N_TA_TARGET,kcy6R7hxr91,"Number of adults and children newly enrolled on antiretroviral therapy (ART)"
"TX_PVLS (D, DSD, Aggregated Age/Sex/Indication) TARGET: Viral Load Documented","TX_PVLS (D, DSD, Aggregated Age/Sex/Ind) TARGET",TX_PVLS_D_DSD_Aggregated_Age_Sex_Ind_TARGET,xwiHCa8AhxM,"Number of adults and pediatric ART patients with a virual load result documented in the patient medical record and/or laboratory records in the past 12 months."
"TX_PVLS (D, DSD, PregBF/Indication) TARGET: Viral Load Documented","TX_PVLS (D, DSD, PregBF/Indication) TARGET",TX_PVLS_D_DSD_PregBF_Indication_TARGET,IWhFbq8e8v4,"Number of adults and pediatric ART patients with a virual load result documented in the patient medical record and/or laboratory records in the past 12 months."
"TX_PVLS (D, DSD, RoutineTargeted) TARGET v2: Viral Load Documented","TX_PVLS (D, DSD, RoutineTargeted) TARGET v2",TX_PVLS_D_DSD_RoutineTargeted_TARGET_v2,OojkNFVojvM,"Number of adults and pediatric ART patients with a virual load result documented in the patient medical record and/or laboratory records in the past 12 months."
"TX_PVLS (D, DSD) TARGET: Viral Load Documented","TX_PVLS (D, DSD) TARGET",TX_PVLS_D_DSD_TARGET,hnYNJcdan7H,"Number of adults and pediatric ART patients with a virual load result documented in the patient medical record and/or laboratory records in the past 12 months."
"TX_PVLS (D, TA, Aggregated Age/Sex/Indication) TARGET: Viral Load Documented","TX_PVLS (D, TA, Aggregated Age/Sex/Ind) TARGET",TX_PVLS_D_TA_Aggregated_Age_Sex_Ind_TARGET,FLnMAPgwhQN,"Number of adults and pediatric ART patients with a virual load result documented in the patient medical record and/or laboratory records in the past 12 months."
"TX_PVLS (D, TA, PregBF/Indication) TARGET: Viral Load Documented","TX_PVLS (D, TA, PregBF/Indication) TARGET",TX_PVLS_D_TA_PregBF_Indication_TARGET,naI8WLhpdFH,"Number of adults and pediatric ART patients with a virual load result documented in the patient medical record and/or laboratory records in the past 12 months."
"TX_PVLS (D, TA, RoutineTargeted) TARGET v2: Viral Load Documented","TX_PVLS (D, TA, RoutineTargeted) TARGET v2",TX_PVLS_D_TA_RoutineTargeted_TARGET_v2,qgTE1Zzqc0b,"Number of adults and pediatric ART patients with a virual load result documented in the patient medical record and/or laboratory records in the past 12 months."
"TX_PVLS (D, TA) TARGET: Viral Load Documented","TX_PVLS (D, TA) TARGET",TX_PVLS_D_TA_TARGET,Fe4xzMWPPwt,"Number of adults and pediatric ART patients with a virual load result documented in the patient medical record and/or laboratory records in the past 12 months."
"TX_PVLS (N, DSD, Aggregated Age/Sex/Indication) TARGET: 12 Months Viral Load < 1000","TX_PVLS (N, DSD, Aggregated Age/Sex/Ind) TARGET",TX_PVLS_N_DSD_Aggregated_Age_Sex_Ind_TARGET,w5fxwjs7RyN,"Number of adults and pediatric patients on ART with suppressed viral load results (<1,000 copies/ml) documented in the medical records and/or supporting laboratory results within the past 12 months."
"TX_PVLS (N, DSD, PregBF/Indication) TARGET: 12 Months Viral Load < 1000","TX_PVLS (N, DSD, PregBF/Indication) TARGET",TX_PVLS_N_DSD_PregBF_Indication_TARGET,IeRlONYeEcQ,"Number of adults and pediatric patients on ART with suppressed viral load results (<1,000 copies/ml) documented in the medical records and/or supporting laboratory results within the past 12 months."
"TX_PVLS (N, DSD, RoutineTargeted) TARGET v2: 12 Months Viral Load < 1000","TX_PVLS (N, DSD, RoutineTargeted) TARGET v2",TX_PVLS_N_DSD_RoutineTargeted_TARGET_v2,GEVWHZldt4c,"Number of adults and pediatric patients on ART with suppressed viral load results (<1,000 copies/ml) documented in the medical records and/or supporting laboratory results within the past 12 months."
"TX_PVLS (N, TA, Aggregated Age/Sex/Indication) TARGET: 12 Months Viral Load < 1000","TX_PVLS (N, TA, Aggregated Age/Sex/Ind) TARGET",TX_PVLS_N_TA_Aggregated_Age_Sex_Ind_TARGET,bDXew2RSwK1,"Number of adults and pediatric patients on ART with suppressed viral load results (<1,000 copies/ml) documented in the medical records and/or supporting laboratory results within the past 12 months."
"TX_PVLS (N, TA, PregBF/Indication) TARGET: 12 Months Viral Load < 1000","TX_PVLS (N, TA, PregBF/Indication) TARGET",TX_PVLS_N_TA_PregBF_Indication_TARGET,bLUx9OuomBn,"Number of adults and pediatric patients on ART with suppressed viral load results (<1,000 copies/ml) documented in the medical records and/or supporting laboratory results within the past 12 months."
"TX_PVLS (N, TA, RoutineTargeted) TARGET v2: 12 Months Viral Load < 1000","TX_PVLS (N, TA, RoutineTargeted) TARGET v2",TX_PVLS_N_TA_RoutineTargeted_TARGET_v2,qIFPVxX0yow,"Number of adults and pediatric patients on ART with suppressed viral load results (<1,000 copies/ml) documented in the medical records and/or supporting laboratory results within the past 12 months."
"TX_RET (D, DSD, 12mo) TARGET: Alive at 12 mo. after initiating ART","TX_RET (D, DSD) TARGET",TX_RET_D_DSD_TARGET,VazS4s73uiA,"Total number of adults and children who initiated ART in the 12 months prior to the beginning of the reporting period, including those who have died, those who have stopped ART, and those lost to follow-up"
"TX_RET (D, DSD, Aggregated Age/Sex) TARGET: Alive at 12 mo. after initiating ART","TX_RET (D, DSD, Aggregated Age/Sex) TARGET",TX_RET_D_DSD_Aggregated_Age_Sex_TARGET,roVNBnW2E9G,"Total number of adults and children who initiated ART in the 12 months prior to the beginning of the reporting period, including those who have died, those who have stopped ART, and those lost to follow-up"
"TX_RET (D, DSD, Preg/Feeding) TARGET: Alive at 12 mo. after initiating ART","TX_RET (D, DSD, Preg/Feeding) TARGET",TX_RET_D_DSD_Preg_Feeding_TARGET,DYTXgQ5uGVy,"Total number of adults and children who initiated ART in the 12, 24, 36 months prior to the beginning of the reporting period, including those who have died, those who have stopped ART, and those lost to follow-up"
"TX_RET (D, TA, 12mo) TARGET: Alive at 12 mo. after initiating ART","TX_RET (D, TA) TARGET",TX_RET_D_TA_TARGET,eLsz65orvFs,"Total number of adults and children who initiated ART in the 12 months prior to the beginning of the reporting period, including those who have died, those who have stopped ART, and those lost to follow-up"
"TX_RET (D, TA, Aggregated Age/Sex) TARGET: Alive at 12 mo. after initiating ART","TX_RET (D, TA, Aggregated Age/Sex) TARGET",TX_RET_D_TA_Aggregated_Age_Sex_TARGET,lnpdm6NtEQV,"Total number of adults and children who initiated ART in the 12 months prior to the beginning of the reporting period, including those who have died, those who have stopped ART, and those lost to follow-up"
"TX_RET (D, TA, Preg/Feeding) TARGET: Alive at 12 mo. after initiating ART","TX_RET (D, TA, Preg/Feeding) TARGET",TX_RET_D_TA_Preg_Feeding_TARGET,AYpnveTLaTC,"Total number of adults and children who initiated ART in the 12, 24, 36 months prior to the beginning of the reporting period, including those who have died, those who have stopped ART, and those lost to follow-up"
"TX_RET (N, DSD, 12mo) TARGET: Alive at 12 mo. after initiating ART","TX_RET (N, DSD) TARGET",TX_RET_N_DSD_TARGET,K4z2xtJi5EK,"Number of adults and children who are still alive and on treatment at 12 months after initiating ART"
"TX_RET (N, DSD, Aggregated Age/Sex) TARGET: Alive at 12 mo. after initiating ART","TX_RET (N, DSD, Aggregated Age/Sex) TARGET",TX_RET_N_DSD_Aggregated_Age_Sex_TARGET,ScSPA8qt5Ri,"Number of adults and children who are still alive and on treatment at 12 months after initiating ART"
"TX_RET (N, DSD, Preg/Feeding) TARGET: Alive at 12 mo. after initiating ART","TX_RET (N, DSD, Preg/Feeding) TARGET",TX_RET_N_DSD_Preg_Feeding_TARGET,UftYuQCZRkM,"Number of adults and children who are still alive and on treatment at 12, 24, and 36 months after initiating ART"
"TX_RET (N, TA, 12mo) TARGET: Alive at 12 mo. after initiating ART","TX_RET (N, TA) TARGET",TX_RET_N_TA_TARGET,WtxVA63vZFj,"Number of adults and children who are still alive and on treatment at 12 months after initiating ART"
"TX_RET (N, TA, Aggregated Age/Sex) TARGET: Alive at 12 mo. after initiating ART","TX_RET (N, TA, Aggregated Age/Sex) TARGET",TX_RET_N_TA_Aggregated_Age_Sex_TARGET,qnK3z3ixRdZ,"Number of adults and children who are still alive and on treatment at 12 months after initiating ART"
"TX_RET (N, TA, Preg/Feeding) TARGET: Alive at 12 mo. after initiating ART","TX_RET (N, TA, Preg/Feeding) TARGET",TX_RET_N_TA_Preg_Feeding_TARGET,kpqUDHULQ30,"Number of adults and children who are still alive and on treatment at 12, 24, and 36 months after initiating ART"
"TX_TB (D, DSD, Aggregated Age/Sex) TARGET: TB Screening","TX_TB (D, DSD, Aggregated Age/Sex) TARGET",TX_TB_D_DSD_Aggregated_Age_Sex_TARGET,iAHNBvtFB7n,"Number of ART patients who were screened for TB at least once during the reporting period"
"TX_TB (D, DSD, PositiveScreen) TARGET: TB Screening","TX_TB (D, DSD, PositiveScreen) TARGET",TX_TB_D_DSD_PositiveScreen_TARGET,IeB3W5uAY9U,"Number of ART patients who were screened for TB at least once during the reporting period"
"TX_TB (D, DSD, Specimen Sent) TARGET: TB Screening","TX_TB (D, DSD, Specimen Sent) TARGET",TX_TB_D_DSD_Specimen_Sent_TARGET,v0CKUtK1h5W,"Number of ART patients who were screened for TB at least once during the reporting period"
"TX_TB (D, DSD) TARGET: TB Screening","TX_TB (D, DSD) TARGET",TX_TB_D_DSD_TARGET,a2C4wgZhWLQ,"Number of ART patients who were screened for TB at least once during the reporting period"
"TX_TB (D, DSD, TB Test Type) TARGET: TB Screening","TX_TB (D, DSD, TB Test Type) TARGET",TX_TB_D_DSD_TB_Test_Type_TARGET,i8BiIhhn5DH,"Number of ART patients who were screened for TB at least once during the reporting period"
"TX_TB (D, TA, Aggregated Age/Sex) TARGET: TB Screening","TX_TB (D, TA, Aggregated Age/Sex) TARGET",TX_TB_D_TA_Aggregated_Age_Sex_TARGET,LjT4UxGgVBS,"Number of ART patients who were screened for TB at least once during the reporting period"
"TX_TB (D, TA, PositiveScreen) TARGET: TB Screening","TX_TB (D, TA, PositiveScreen) TARGET",TX_TB_D_TA_PositiveScreen_TARGET,KItTaoRLwIz,"Number of ART patients who were screened for TB at least once during the reporting period"
"TX_TB (D, TA, Specimen Sent) TARGET: TB Screening","TX_TB (D, TA, Specimen Sent) TARGET",TX_TB_D_TA_Specimen_Sent_TARGET,TPub6CZaCO9,"Number of ART patients who were screened for TB at least once during the reporting period"
"TX_TB (D, TA) TARGET: TB Screening","TX_TB (D, TA) TARGET",TX_TB_D_TA_TARGET,jNEMWcRor82,"Number of ART patients who were screened for TB at least once during the reporting period"
"TX_TB (D, TA, TB Test Type) TARGET: TB Screening","TX_TB (D, TA, TB Test Type) TARGET",TX_TB_D_TA_TB_Test_Type_TARGET,qSFGRZAN4N6,"Number of ART patients who were screened for TB at least once during the reporting period"
"TX_TB (N, DSD, Aggregated Age/Sex) TARGET: TB Treatment","TX_TB (N, DSD, Aggregated Age/Sex) TARGET",TX_TB_N_DSD_Aggregated_Age_Sex_TARGET,PLdqpKvT0jP,"Number of ART patients who were started on TB treatment during the reporting period"
"TX_TB (N, DSD) TARGET: TB Treatment","TX_TB (N, DSD) TARGET",TX_TB_N_DSD_TARGET,pKj5cs5jAAD,"Number of ART patients who were started on TB treatment during the reporting period"
"TX_TB (N, TA, Aggregated Age/Sex) TARGET: TB Treatment","TX_TB (N, TA, Aggregated Age/Sex) TARGET",TX_TB_N_TA_Aggregated_Age_Sex_TARGET,PhmsQDZp0B8,"Number of ART patients who were started on TB treatment during the reporting period"
"TX_TB (N, TA) TARGET: TB Treatment","TX_TB (N, TA) TARGET",TX_TB_N_TA_TARGET,dVR1VVbn6nC,"Number of ART patients who were started on TB treatment during the reporting period"
"VMMC_CIRC (N, DSD, Age) TARGET v2: Voluntary Circumcised","VMMC_CIRC (N, DSD, Age2017) TARGET",VMMC_CIRC_N_DSD_Age2017_TARGET,NjvBvVZdirO,"Number of males circumcised as part of the voluntary medical male circumcision (VMMC) for HIV prevention program within the preporting period."
"VMMC_CIRC (N, DSD) TARGET: Voluntary Circumcised","VMMC_CIRC (N, DSD) TARGET",VMMC_CIRC_N_DSD_TARGET,pbelX3OFkkT,"Number of males circumcised as part of the voluntary medical male circumcision (VMMC) for HIV prevention program within the preporting period."
"VMMC_CIRC (N, DSD, Technique) TARGET: Voluntary Circumcised","VMMC_CIRC (N, DSD, Technique) TARGET",VMMC_CIRC_N_DSD_Technique_TARGET,LbmWd1fLXkP,"Number of males circumcised as part of the voluntary medical male circumcision (VMMC) for HIV prevention program within the preporting period."
"VMMC_CIRC (N, TA, Age) TARGET v2: Voluntary Circumcised","VMMC_CIRC (N, TA, Age2017) TARGET",VMMC_CIRC_N_TA_Age2017_TARGET,QASYilHhPIK,"Number of males circumcised as part of the voluntary medical male circumcision (VMMC) for HIV prevention program within the preporting period."
"VMMC_CIRC (N, TA) TARGET: Voluntary Circumcised","VMMC_CIRC (N, TA) TARGET",VMMC_CIRC_N_TA_TARGET,z3DF1jx3zUZ,"Number of males circumcised as part of the voluntary medical male circumcision (VMMC) for HIV prevention program within the preporting period."
"VMMC_CIRC (N, TA, Technique) TARGET: Voluntary Circumcised","VMMC_CIRC (N, TA, Technique) TARGET",VMMC_CIRC_N_TA_Technique_TARGET,BV4c3RVJY9Y,"Number of males circumcised as part of the voluntary medical male circumcision (VMMC) for HIV prevention program within the preporting period."
"KP_MAT_SUBNAT (N, SUBNAT, Sex) TARGET: PWID on MAT","KP_MAT_SUBNAT (N, SUBNAT, Sex) TARGET",KP_MAT_SUBNAT_N_SUBNAT_Sex_TARGET,ctGo7s0K63z,"Number of people who inject drugs (PWID) on medication assisted therapy (MAT) for at least 6 months"
"KP_MAT_SUBNAT (N, SUBNAT) TARGET: PWID on MAT","KP_MAT_SUBNAT (N, SUBNAT) TARGET",KP_MAT_SUBNAT_N_SUBNAT_TARGET,CShdIv7wNUB,"Number of people who inject drugs (PWID) on medication assisted therapy (MAT) for at least 6 months"
"PMTCT_ARV_SUBNAT (D, SUBNAT) TARGET: ARVs","PMTCT_ARV_SUBNAT (D, SUBNAT) TARGET",PMTCT_ARV_SUBNAT_D_SUBNAT_TARGET,eJaChfuqUTs,"Number of HIV-positive pregnant women who received antiretrovirals to reduce risk of mother-to-child-transmission"
"PMTCT_ARV_SUBNAT (N, SUBNAT, NewExistingArt) TARGET: ARVs","PMTCT_ARV_SUBNAT (N, SUBNAT, NewExistArt) TARGET",PMTCT_ARV_SUBNAT_N_SUBNAT_NewExistArt_TARGET,HVBf6Sgi6Jk,"Number of HIV-positive pregnant women who received antiretrovirals to reduce risk of mother-to-child-transmission"
"PMTCT_STAT_SUBNAT (D, SUBNAT) TARGET: Known Results","PMTCT_STAT_SUBNAT (D, SUBNAT) TARGET",PMTCT_STAT_SUBNAT_D_SUBNAT_TARGET,RM8gRoxtsNw,"Number of pregnant women who were tested for HIV and know their results plus number of pregnant women with known HIV status at entry to services."
"PMTCT_STAT_SUBNAT (N, SUBNAT, KnownNewPosNewNeg) TARGET: Known Results","PMTCT_STAT_SUBNAT (N, SUBNAT, KnownPosNeg) TARGET",PMTCT_STAT_SUBNAT_N_SUBNAT_KnownPosNeg_TARGET,tAE7ZD7p9zu,"Number of pregnant women who were tested for HIV and know their results plus number of pregnant women with known HIV status at entry to services."
"PMTCT_STAT_SUBNAT (N, SUBNAT) TARGET: Known Results","PMTCT_STAT_SUBNAT (N, SUBNAT) TARGET",PMTCT_STAT_SUBNAT_N_SUBNAT_TARGET,bWlpuel5QnH,"Number of pregnant women who were tested for HIV and know their results plus number of pregnant women with known HIV status at entry to services."
"TX_CURR_SUBNAT (N, SUBNAT, Age/Sex) TARGET: Receiving ART","TX_CURR_SUBNAT (N, SUBNAT, Age/Sex) TARGET",TX_CURR_SUBNAT_N_SUBNAT_Age_Sex_TARGET,KeIo9JZPFIC,"Number of adults and children currently receiving antiretroviral therapy (ART)"
"TX_CURR_SUBNAT (N, SUBNAT) TARGET: Receiving ART","TX_CURR_SUBNAT (N, SUBNAT) TARGET",TX_CURR_SUBNAT_N_SUBNAT_TARGET,qjBMdjQFy26,"Number of adults and children currently receiving antiretroviral therapy (ART)"
"VMMC_CIRC_SUBNAT (N, SUBNAT, Age) TARGET: Voluntary Circumcised","VMMC_CIRC_SUBNAT (N, SUBNAT, Age) TARGET",VMMC_CIRC_SUBNAT_N_SUBNAT_Age_TARGET,N4gxW4jgIBt,"Number of males circumcised as part of the voluntary medical male circumcision (VMMC) for HIV prevention program within the reporting period"
"VMMC_CIRC_SUBNAT (N, SUBNAT) TARGET: Voluntary Circumcised","VMMC_CIRC_SUBNAT (N, SUBNAT) TARGET",VMMC_CIRC_SUBNAT_N_SUBNAT_TARGET,KA5Wu5V4glc,"Number of males circumcised as part of the voluntary medical male circumcision (VMMC) for HIV prevention program within the reporting period"
