dataelement,shortname,code,dataelementuid,dataelementdesc,categoryoptioncombo,categoryoptioncombocode,categoryoptioncombouid
"TX_RET (D, DSD, Aggregated Age/Sex) TARGET: Alive at 12 mo. after initiating ART","TX_RET (D, DSD, Aggregated Age/Sex) TARGET",TX_RET_D_DSD_Aggregated_Age_Sex_TARGET,roVNBnW2E9G,"Total number of adults and children who initiated ART in the 12 months prior to the beginning of the reporting period, including those who have died, those who have stopped ART, and those lost to follow-up","15+, Female",NxWS31FH6DC,NxWS31FH6DC
"TX_RET (D, DSD, Aggregated Age/Sex) TARGET: Alive at 12 mo. after initiating ART","TX_RET (D, DSD, Aggregated Age/Sex) TARGET",TX_RET_D_DSD_Aggregated_Age_Sex_TARGET,roVNBnW2E9G,"Total number of adults and children who initiated ART in the 12 months prior to the beginning of the reporting period, including those who have died, those who have stopped ART, and those lost to follow-up","<15, Male",sGE1IjFYNjF,sGE1IjFYNjF
"TX_RET (D, DSD, Aggregated Age/Sex) TARGET: Alive at 12 mo. after initiating ART","TX_RET (D, DSD, Aggregated Age/Sex) TARGET",TX_RET_D_DSD_Aggregated_Age_Sex_TARGET,roVNBnW2E9G,"Total number of adults and children who initiated ART in the 12 months prior to the beginning of the reporting period, including those who have died, those who have stopped ART, and those lost to follow-up","15+, Male",aXiCuDLkhT1,aXiCuDLkhT1
"TX_RET (D, DSD, Preg/Feeding) TARGET: Alive at 12 mo. after initiating ART","TX_RET (D, DSD, Preg/Feeding) TARGET",TX_RET_D_DSD_Preg_Feeding_TARGET,DYTXgQ5uGVy,"Total number of adults and children who initiated ART in the 12, 24, 36 months prior to the beginning of the reporting period, including those who have died, those who have stopped ART, and those lost to follow-up",Breastfeeding,jaxEUorPKgv,jaxEUorPKgv
"TX_RET (D, DSD, Preg/Feeding) TARGET: Alive at 12 mo. after initiating ART","TX_RET (D, DSD, Preg/Feeding) TARGET",TX_RET_D_DSD_Preg_Feeding_TARGET,DYTXgQ5uGVy,"Total number of adults and children who initiated ART in the 12, 24, 36 months prior to the beginning of the reporting period, including those who have died, those who have stopped ART, and those lost to follow-up",Pregnant,vxBSF1mguas,vxBSF1mguas
"TX_RET (D, TA, 12mo) TARGET: Alive at 12 mo. after initiating ART","TX_RET (D, TA) TARGET",TX_RET_D_TA_TARGET,eLsz65orvFs,"Total number of adults and children who initiated ART in the 12 months prior to the beginning of the reporting period, including those who have died, those who have stopped ART, and those lost to follow-up",default,HllvX50cXC0,HllvX50cXC0
"TX_RET (D, TA, Aggregated Age/Sex) TARGET: Alive at 12 mo. after initiating ART","TX_RET (D, TA, Aggregated Age/Sex) TARGET",TX_RET_D_TA_Aggregated_Age_Sex_TARGET,lnpdm6NtEQV,"Total number of adults and children who initiated ART in the 12 months prior to the beginning of the reporting period, including those who have died, those who have stopped ART, and those lost to follow-up","<15, Female",Pv51tDz8wHc,Pv51tDz8wHc
"TX_RET (D, TA, Aggregated Age/Sex) TARGET: Alive at 12 mo. after initiating ART","TX_RET (D, TA, Aggregated Age/Sex) TARGET",TX_RET_D_TA_Aggregated_Age_Sex_TARGET,lnpdm6NtEQV,"Total number of adults and children who initiated ART in the 12 months prior to the beginning of the reporting period, including those who have died, those who have stopped ART, and those lost to follow-up","15+, Female",NxWS31FH6DC,NxWS31FH6DC
"TX_RET (D, TA, Aggregated Age/Sex) TARGET: Alive at 12 mo. after initiating ART","TX_RET (D, TA, Aggregated Age/Sex) TARGET",TX_RET_D_TA_Aggregated_Age_Sex_TARGET,lnpdm6NtEQV,"Total number of adults and children who initiated ART in the 12 months prior to the beginning of the reporting period, including those who have died, those who have stopped ART, and those lost to follow-up","<15, Male",sGE1IjFYNjF,sGE1IjFYNjF
"TX_RET (D, TA, Aggregated Age/Sex) TARGET: Alive at 12 mo. after initiating ART","TX_RET (D, TA, Aggregated Age/Sex) TARGET",TX_RET_D_TA_Aggregated_Age_Sex_TARGET,lnpdm6NtEQV,"Total number of adults and children who initiated ART in the 12 months prior to the beginning of the reporting period, including those who have died, those who have stopped ART, and those lost to follow-up","15+, Male",aXiCuDLkhT1,aXiCuDLkhT1
"TX_RET (D, TA, Preg/Feeding) TARGET: Alive at 12 mo. after initiating ART","TX_RET (D, TA, Preg/Feeding) TARGET",TX_RET_D_TA_Preg_Feeding_TARGET,AYpnveTLaTC,"Total number of adults and children who initiated ART in the 12, 24, 36 months prior to the beginning of the reporting period, including those who have died, those who have stopped ART, and those lost to follow-up",Breastfeeding,jaxEUorPKgv,jaxEUorPKgv
"TX_RET (D, TA, Preg/Feeding) TARGET: Alive at 12 mo. after initiating ART","TX_RET (D, TA, Preg/Feeding) TARGET",TX_RET_D_TA_Preg_Feeding_TARGET,AYpnveTLaTC,"Total number of adults and children who initiated ART in the 12, 24, 36 months prior to the beginning of the reporting period, including those who have died, those who have stopped ART, and those lost to follow-up",Pregnant,vxBSF1mguas,vxBSF1mguas
"TX_RET (N, DSD, 12mo) TARGET: Alive at 12 mo. after initiating ART","TX_RET (N, DSD) TARGET",TX_RET_N_DSD_TARGET,K4z2xtJi5EK,"Number of adults and children who are still alive and on treatment at 12 months after initiating ART",default,HllvX50cXC0,HllvX50cXC0
"TX_RET (N, DSD, Aggregated Age/Sex) TARGET: Alive at 12 mo. after initiating ART","TX_RET (N, DSD, Aggregated Age/Sex) TARGET",TX_RET_N_DSD_Aggregated_Age_Sex_TARGET,ScSPA8qt5Ri,"Number of adults and children who are still alive and on treatment at 12 months after initiating ART","<15, Female",Pv51tDz8wHc,Pv51tDz8wHc
"TX_RET (N, DSD, Aggregated Age/Sex) TARGET: Alive at 12 mo. after initiating ART","TX_RET (N, DSD, Aggregated Age/Sex) TARGET",TX_RET_N_DSD_Aggregated_Age_Sex_TARGET,ScSPA8qt5Ri,"Number of adults and children who are still alive and on treatment at 12 months after initiating ART","15+, Female",NxWS31FH6DC,NxWS31FH6DC
"TX_RET (N, DSD, Aggregated Age/Sex) TARGET: Alive at 12 mo. after initiating ART","TX_RET (N, DSD, Aggregated Age/Sex) TARGET",TX_RET_N_DSD_Aggregated_Age_Sex_TARGET,ScSPA8qt5Ri,"Number of adults and children who are still alive and on treatment at 12 months after initiating ART","<15, Male",sGE1IjFYNjF,sGE1IjFYNjF
"TX_RET (N, DSD, Aggregated Age/Sex) TARGET: Alive at 12 mo. after initiating ART","TX_RET (N, DSD, Aggregated Age/Sex) TARGET",TX_RET_N_DSD_Aggregated_Age_Sex_TARGET,ScSPA8qt5Ri,"Number of adults and children who are still alive and on treatment at 12 months after initiating ART","15+, Male",aXiCuDLkhT1,aXiCuDLkhT1
"TX_RET (N, DSD, Preg/Feeding) TARGET: Alive at 12 mo. after initiating ART","TX_RET (N, DSD, Preg/Feeding) TARGET",TX_RET_N_DSD_Preg_Feeding_TARGET,UftYuQCZRkM,"Number of adults and children who are still alive and on treatment at 12, 24, and 36 months after initiating ART",Breastfeeding,jaxEUorPKgv,jaxEUorPKgv
"TX_RET (N, DSD, Preg/Feeding) TARGET: Alive at 12 mo. after initiating ART","TX_RET (N, DSD, Preg/Feeding) TARGET",TX_RET_N_DSD_Preg_Feeding_TARGET,UftYuQCZRkM,"Number of adults and children who are still alive and on treatment at 12, 24, and 36 months after initiating ART",Pregnant,vxBSF1mguas,vxBSF1mguas
"TX_RET (N, TA, 12mo) TARGET: Alive at 12 mo. after initiating ART","TX_RET (N, TA) TARGET",TX_RET_N_TA_TARGET,WtxVA63vZFj,"Number of adults and children who are still alive and on treatment at 12 months after initiating ART",default,HllvX50cXC0,HllvX50cXC0
"TX_RET (N, TA, Aggregated Age/Sex) TARGET: Alive at 12 mo. after initiating ART","TX_RET (N, TA, Aggregated Age/Sex) TARGET",TX_RET_N_TA_Aggregated_Age_Sex_TARGET,qnK3z3ixRdZ,"Number of adults and children who are still alive and on treatment at 12 months after initiating ART","<15, Female",Pv51tDz8wHc,Pv51tDz8wHc
"TX_RET (N, TA, Aggregated Age/Sex) TARGET: Alive at 12 mo. after initiating ART","TX_RET (N, TA, Aggregated Age/Sex) TARGET",TX_RET_N_TA_Aggregated_Age_Sex_TARGET,qnK3z3ixRdZ,"Number of adults and children who are still alive and on treatment at 12 months after initiating ART","15+, Female",NxWS31FH6DC,NxWS31FH6DC
"TX_RET (N, TA, Aggregated Age/Sex) TARGET: Alive at 12 mo. after initiating ART","TX_RET (N, TA, Aggregated Age/Sex) TARGET",TX_RET_N_TA_Aggregated_Age_Sex_TARGET,qnK3z3ixRdZ,"Number of adults and children who are still alive and on treatment at 12 months after initiating ART","<15, Male",sGE1IjFYNjF,sGE1IjFYNjF
"TX_RET (N, TA, Aggregated Age/Sex) TARGET: Alive at 12 mo. after initiating ART","TX_RET (N, TA, Aggregated Age/Sex) TARGET",TX_RET_N_TA_Aggregated_Age_Sex_TARGET,qnK3z3ixRdZ,"Number of adults and children who are still alive and on treatment at 12 months after initiating ART","15+, Male",aXiCuDLkhT1,aXiCuDLkhT1
"TX_RET (N, TA, Preg/Feeding) TARGET: Alive at 12 mo. after initiating ART","TX_RET (N, TA, Preg/Feeding) TARGET",TX_RET_N_TA_Preg_Feeding_TARGET,kpqUDHULQ30,"Number of adults and children who are still alive and on treatment at 12, 24, and 36 months after initiating ART",Breastfeeding,jaxEUorPKgv,jaxEUorPKgv
"TX_RET (N, TA, Preg/Feeding) TARGET: Alive at 12 mo. after initiating ART","TX_RET (N, TA, Preg/Feeding) TARGET",TX_RET_N_TA_Preg_Feeding_TARGET,kpqUDHULQ30,"Number of adults and children who are still alive and on treatment at 12, 24, and 36 months after initiating ART",Pregnant,vxBSF1mguas,vxBSF1mguas
"TX_TB (D, DSD, Aggregated Age/Sex) TARGET: TB Screening","TX_TB (D, DSD, Aggregated Age/Sex) TARGET",TX_TB_D_DSD_Aggregated_Age_Sex_TARGET,iAHNBvtFB7n,"Number of ART patients who were screened for TB at least once during the reporting period","<15, Female",Pv51tDz8wHc,Pv51tDz8wHc
"TX_TB (D, DSD, Aggregated Age/Sex) TARGET: TB Screening","TX_TB (D, DSD, Aggregated Age/Sex) TARGET",TX_TB_D_DSD_Aggregated_Age_Sex_TARGET,iAHNBvtFB7n,"Number of ART patients who were screened for TB at least once during the reporting period","15+, Female",NxWS31FH6DC,NxWS31FH6DC
"TX_TB (D, DSD, Aggregated Age/Sex) TARGET: TB Screening","TX_TB (D, DSD, Aggregated Age/Sex) TARGET",TX_TB_D_DSD_Aggregated_Age_Sex_TARGET,iAHNBvtFB7n,"Number of ART patients who were screened for TB at least once during the reporting period","<15, Male",sGE1IjFYNjF,sGE1IjFYNjF
"TX_TB (D, DSD, Aggregated Age/Sex) TARGET: TB Screening","TX_TB (D, DSD, Aggregated Age/Sex) TARGET",TX_TB_D_DSD_Aggregated_Age_Sex_TARGET,iAHNBvtFB7n,"Number of ART patients who were screened for TB at least once during the reporting period","15+, Male",aXiCuDLkhT1,aXiCuDLkhT1
"TX_TB (D, DSD, PositiveScreen) TARGET: TB Screening","TX_TB (D, DSD, PositiveScreen) TARGET",TX_TB_D_DSD_PositiveScreen_TARGET,IeB3W5uAY9U,"Number of ART patients who were screened for TB at least once during the reporting period",Negative,ZZgjEm5kvv3,ZZgjEm5kvv3
"TX_TB (D, DSD, PositiveScreen) TARGET: TB Screening","TX_TB (D, DSD, PositiveScreen) TARGET",TX_TB_D_DSD_PositiveScreen_TARGET,IeB3W5uAY9U,"Number of ART patients who were screened for TB at least once during the reporting period",Positive,XkqnsV4slkA,XkqnsV4slkA
"TX_TB (D, DSD, Specimen Sent) TARGET: TB Screening","TX_TB (D, DSD, Specimen Sent) TARGET",TX_TB_D_DSD_Specimen_Sent_TARGET,v0CKUtK1h5W,"Number of ART patients who were screened for TB at least once during the reporting period",default,HllvX50cXC0,HllvX50cXC0
"TX_TB (D, DSD) TARGET: TB Screening","TX_TB (D, DSD) TARGET",TX_TB_D_DSD_TARGET,a2C4wgZhWLQ,"Number of ART patients who were screened for TB at least once during the reporting period",default,HllvX50cXC0,HllvX50cXC0
"TX_TB (D, DSD, TB Test Type) TARGET: TB Screening","TX_TB (D, DSD, TB Test Type) TARGET",TX_TB_D_DSD_TB_Test_Type_TARGET,i8BiIhhn5DH,"Number of ART patients who were screened for TB at least once during the reporting period",(Other),zfBoZZIHjmY,zfBoZZIHjmY
"TX_TB (D, DSD, TB Test Type) TARGET: TB Screening","TX_TB (D, DSD, TB Test Type) TARGET",TX_TB_D_DSD_TB_Test_Type_TARGET,i8BiIhhn5DH,"Number of ART patients who were screened for TB at least once during the reporting period",(Smear),JNmiNNuzOP4,JNmiNNuzOP4
"TX_TB (D, DSD, TB Test Type) TARGET: TB Screening","TX_TB (D, DSD, TB Test Type) TARGET",TX_TB_D_DSD_TB_Test_Type_TARGET,i8BiIhhn5DH,"Number of ART patients who were screened for TB at least once during the reporting period",(Xpert),QHwgGBc0snC,QHwgGBc0snC
"TX_TB (D, TA, Aggregated Age/Sex) TARGET: TB Screening","TX_TB (D, TA, Aggregated Age/Sex) TARGET",TX_TB_D_TA_Aggregated_Age_Sex_TARGET,LjT4UxGgVBS,"Number of ART patients who were screened for TB at least once during the reporting period","<15, Female",Pv51tDz8wHc,Pv51tDz8wHc
"TX_TB (D, TA, Aggregated Age/Sex) TARGET: TB Screening","TX_TB (D, TA, Aggregated Age/Sex) TARGET",TX_TB_D_TA_Aggregated_Age_Sex_TARGET,LjT4UxGgVBS,"Number of ART patients who were screened for TB at least once during the reporting period","15+, Female",NxWS31FH6DC,NxWS31FH6DC
"TX_TB (D, TA, Aggregated Age/Sex) TARGET: TB Screening","TX_TB (D, TA, Aggregated Age/Sex) TARGET",TX_TB_D_TA_Aggregated_Age_Sex_TARGET,LjT4UxGgVBS,"Number of ART patients who were screened for TB at least once during the reporting period","<15, Male",sGE1IjFYNjF,sGE1IjFYNjF
"TX_TB (D, TA, Aggregated Age/Sex) TARGET: TB Screening","TX_TB (D, TA, Aggregated Age/Sex) TARGET",TX_TB_D_TA_Aggregated_Age_Sex_TARGET,LjT4UxGgVBS,"Number of ART patients who were screened for TB at least once during the reporting period","15+, Male",aXiCuDLkhT1,aXiCuDLkhT1
"TX_TB (D, TA, PositiveScreen) TARGET: TB Screening","TX_TB (D, TA, PositiveScreen) TARGET",TX_TB_D_TA_PositiveScreen_TARGET,KItTaoRLwIz,"Number of ART patients who were screened for TB at least once during the reporting period",Negative,ZZgjEm5kvv3,ZZgjEm5kvv3
"TX_TB (D, TA, PositiveScreen) TARGET: TB Screening","TX_TB (D, TA, PositiveScreen) TARGET",TX_TB_D_TA_PositiveScreen_TARGET,KItTaoRLwIz,"Number of ART patients who were screened for TB at least once during the reporting period",Positive,XkqnsV4slkA,XkqnsV4slkA
"TX_TB (D, TA, Specimen Sent) TARGET: TB Screening","TX_TB (D, TA, Specimen Sent) TARGET",TX_TB_D_TA_Specimen_Sent_TARGET,TPub6CZaCO9,"Number of ART patients who were screened for TB at least once during the reporting period",default,HllvX50cXC0,HllvX50cXC0
"TX_TB (D, TA) TARGET: TB Screening","TX_TB (D, TA) TARGET",TX_TB_D_TA_TARGET,jNEMWcRor82,"Number of ART patients who were screened for TB at least once during the reporting period",default,HllvX50cXC0,HllvX50cXC0
"TX_TB (D, TA, TB Test Type) TARGET: TB Screening","TX_TB (D, TA, TB Test Type) TARGET",TX_TB_D_TA_TB_Test_Type_TARGET,qSFGRZAN4N6,"Number of ART patients who were screened for TB at least once during the reporting period",(Other),zfBoZZIHjmY,zfBoZZIHjmY
"TX_TB (D, TA, TB Test Type) TARGET: TB Screening","TX_TB (D, TA, TB Test Type) TARGET",TX_TB_D_TA_TB_Test_Type_TARGET,qSFGRZAN4N6,"Number of ART patients who were screened for TB at least once during the reporting period",(Smear),JNmiNNuzOP4,JNmiNNuzOP4
"TX_TB (D, TA, TB Test Type) TARGET: TB Screening","TX_TB (D, TA, TB Test Type) TARGET",TX_TB_D_TA_TB_Test_Type_TARGET,qSFGRZAN4N6,"Number of ART patients who were screened for TB at least once during the reporting period",(Xpert),QHwgGBc0snC,QHwgGBc0snC
"TX_TB (N, DSD, Aggregated Age/Sex) TARGET: TB Treatment","TX_TB (N, DSD, Aggregated Age/Sex) TARGET",TX_TB_N_DSD_Aggregated_Age_Sex_TARGET,PLdqpKvT0jP,"Number of ART patients who were started on TB treatment during the reporting period","<15, Female",Pv51tDz8wHc,Pv51tDz8wHc
"TX_TB (N, DSD, Aggregated Age/Sex) TARGET: TB Treatment","TX_TB (N, DSD, Aggregated Age/Sex) TARGET",TX_TB_N_DSD_Aggregated_Age_Sex_TARGET,PLdqpKvT0jP,"Number of ART patients who were started on TB treatment during the reporting period","15+, Female",NxWS31FH6DC,NxWS31FH6DC
"TX_TB (N, DSD, Aggregated Age/Sex) TARGET: TB Treatment","TX_TB (N, DSD, Aggregated Age/Sex) TARGET",TX_TB_N_DSD_Aggregated_Age_Sex_TARGET,PLdqpKvT0jP,"Number of ART patients who were started on TB treatment during the reporting period","<15, Male",sGE1IjFYNjF,sGE1IjFYNjF
"TX_TB (N, DSD, Aggregated Age/Sex) TARGET: TB Treatment","TX_TB (N, DSD, Aggregated Age/Sex) TARGET",TX_TB_N_DSD_Aggregated_Age_Sex_TARGET,PLdqpKvT0jP,"Number of ART patients who were started on TB treatment during the reporting period","15+, Male",aXiCuDLkhT1,aXiCuDLkhT1
"TX_TB (N, DSD) TARGET: TB Treatment","TX_TB (N, DSD) TARGET",TX_TB_N_DSD_TARGET,pKj5cs5jAAD,"Number of ART patients who were started on TB treatment during the reporting period",default,HllvX50cXC0,HllvX50cXC0
"TX_TB (N, TA, Aggregated Age/Sex) TARGET: TB Treatment","TX_TB (N, TA, Aggregated Age/Sex) TARGET",TX_TB_N_TA_Aggregated_Age_Sex_TARGET,PhmsQDZp0B8,"Number of ART patients who were started on TB treatment during the reporting period","<15, Female",Pv51tDz8wHc,Pv51tDz8wHc
"TX_TB (N, TA, Aggregated Age/Sex) TARGET: TB Treatment","TX_TB (N, TA, Aggregated Age/Sex) TARGET",TX_TB_N_TA_Aggregated_Age_Sex_TARGET,PhmsQDZp0B8,"Number of ART patients who were started on TB treatment during the reporting period","15+, Female",NxWS31FH6DC,NxWS31FH6DC
"TX_TB (N, TA, Aggregated Age/Sex) TARGET: TB Treatment","TX_TB (N, TA, Aggregated Age/Sex) TARGET",TX_TB_N_TA_Aggregated_Age_Sex_TARGET,PhmsQDZp0B8,"Number of ART patients who were started on TB treatment during the reporting period","<15, Male",sGE1IjFYNjF,sGE1IjFYNjF
"TX_TB (N, TA, Aggregated Age/Sex) TARGET: TB Treatment","TX_TB (N, TA, Aggregated Age/Sex) TARGET",TX_TB_N_TA_Aggregated_Age_Sex_TARGET,PhmsQDZp0B8,"Number of ART patients who were started on TB treatment during the reporting period","15+, Male",aXiCuDLkhT1,aXiCuDLkhT1
"TX_TB (N, TA) TARGET: TB Treatment","TX_TB (N, TA) TARGET",TX_TB_N_TA_TARGET,dVR1VVbn6nC,"Number of ART patients who were started on TB treatment during the reporting period",default,HllvX50cXC0,HllvX50cXC0
"VMMC_CIRC (N, DSD, Age) TARGET v2: Voluntary Circumcised","VMMC_CIRC (N, DSD, Age2017) TARGET",VMMC_CIRC_N_DSD_Age2017_TARGET,NjvBvVZdirO,"Number of males circumcised as part of the voluntary medical male circumcision (VMMC) for HIV prevention program within the preporting period.",10-14,kuPJ3L2WPjz,kuPJ3L2WPjz
"VMMC_CIRC (N, DSD, Age) TARGET v2: Voluntary Circumcised","VMMC_CIRC (N, DSD, Age2017) TARGET",VMMC_CIRC_N_DSD_Age2017_TARGET,NjvBvVZdirO,"Number of males circumcised as part of the voluntary medical male circumcision (VMMC) for HIV prevention program within the preporting period.",15-19,D5m74OO2hRR,D5m74OO2hRR
"VMMC_CIRC (N, DSD, Age) TARGET v2: Voluntary Circumcised","VMMC_CIRC (N, DSD, Age2017) TARGET",VMMC_CIRC_N_DSD_Age2017_TARGET,NjvBvVZdirO,"Number of males circumcised as part of the voluntary medical male circumcision (VMMC) for HIV prevention program within the preporting period.",20-24,IOhqShgrJPq,IOhqShgrJPq
"VMMC_CIRC (N, DSD, Age) TARGET v2: Voluntary Circumcised","VMMC_CIRC (N, DSD, Age2017) TARGET",VMMC_CIRC_N_DSD_Age2017_TARGET,NjvBvVZdirO,"Number of males circumcised as part of the voluntary medical male circumcision (VMMC) for HIV prevention program within the preporting period.",25-29,Ohcdk6q4Mk7,Ohcdk6q4Mk7
"VMMC_CIRC (N, DSD, Age) TARGET v2: Voluntary Circumcised","VMMC_CIRC (N, DSD, Age2017) TARGET",VMMC_CIRC_N_DSD_Age2017_TARGET,NjvBvVZdirO,"Number of males circumcised as part of the voluntary medical male circumcision (VMMC) for HIV prevention program within the preporting period.","< 2 months",yIlKECUAguI,yIlKECUAguI
"VMMC_CIRC (N, DSD, Age) TARGET v2: Voluntary Circumcised","VMMC_CIRC (N, DSD, Age2017) TARGET",VMMC_CIRC_N_DSD_Age2017_TARGET,NjvBvVZdirO,"Number of males circumcised as part of the voluntary medical male circumcision (VMMC) for HIV prevention program within the preporting period.","2 months - 9 years",SbKVR3Wthsw,SbKVR3Wthsw
"VMMC_CIRC (N, DSD, Age) TARGET v2: Voluntary Circumcised","VMMC_CIRC (N, DSD, Age2017) TARGET",VMMC_CIRC_N_DSD_Age2017_TARGET,NjvBvVZdirO,"Number of males circumcised as part of the voluntary medical male circumcision (VMMC) for HIV prevention program within the preporting period.",30-49,hD3BvEcvUxh,hD3BvEcvUxh
"VMMC_CIRC (N, DSD, Age) TARGET v2: Voluntary Circumcised","VMMC_CIRC (N, DSD, Age2017) TARGET",VMMC_CIRC_N_DSD_Age2017_TARGET,NjvBvVZdirO,"Number of males circumcised as part of the voluntary medical male circumcision (VMMC) for HIV prevention program within the preporting period.",50+,ODDj2z1OZHH,ODDj2z1OZHH
"VMMC_CIRC (N, DSD) TARGET: Voluntary Circumcised","VMMC_CIRC (N, DSD) TARGET",VMMC_CIRC_N_DSD_TARGET,pbelX3OFkkT,"Number of males circumcised as part of the voluntary medical male circumcision (VMMC) for HIV prevention program within the preporting period.",default,HllvX50cXC0,HllvX50cXC0
"VMMC_CIRC (N, DSD, Technique) TARGET: Voluntary Circumcised","VMMC_CIRC (N, DSD, Technique) TARGET",VMMC_CIRC_N_DSD_Technique_TARGET,LbmWd1fLXkP,"Number of males circumcised as part of the voluntary medical male circumcision (VMMC) for HIV prevention program within the preporting period.","Device based",N7kM6E9aHSa,N7kM6E9aHSa
"VMMC_CIRC (N, DSD, Technique) TARGET: Voluntary Circumcised","VMMC_CIRC (N, DSD, Technique) TARGET",VMMC_CIRC_N_DSD_Technique_TARGET,LbmWd1fLXkP,"Number of males circumcised as part of the voluntary medical male circumcision (VMMC) for HIV prevention program within the preporting period.","Surgical Technique",foA8FjRmlkf,foA8FjRmlkf
"VMMC_CIRC (N, TA, Age) TARGET v2: Voluntary Circumcised","VMMC_CIRC (N, TA, Age2017) TARGET",VMMC_CIRC_N_TA_Age2017_TARGET,QASYilHhPIK,"Number of males circumcised as part of the voluntary medical male circumcision (VMMC) for HIV prevention program within the preporting period.",10-14,kuPJ3L2WPjz,kuPJ3L2WPjz
"VMMC_CIRC (N, TA, Age) TARGET v2: Voluntary Circumcised","VMMC_CIRC (N, TA, Age2017) TARGET",VMMC_CIRC_N_TA_Age2017_TARGET,QASYilHhPIK,"Number of males circumcised as part of the voluntary medical male circumcision (VMMC) for HIV prevention program within the preporting period.",15-19,D5m74OO2hRR,D5m74OO2hRR
"VMMC_CIRC (N, TA, Age) TARGET v2: Voluntary Circumcised","VMMC_CIRC (N, TA, Age2017) TARGET",VMMC_CIRC_N_TA_Age2017_TARGET,QASYilHhPIK,"Number of males circumcised as part of the voluntary medical male circumcision (VMMC) for HIV prevention program within the preporting period.",20-24,IOhqShgrJPq,IOhqShgrJPq
"VMMC_CIRC (N, TA, Age) TARGET v2: Voluntary Circumcised","VMMC_CIRC (N, TA, Age2017) TARGET",VMMC_CIRC_N_TA_Age2017_TARGET,QASYilHhPIK,"Number of males circumcised as part of the voluntary medical male circumcision (VMMC) for HIV prevention program within the preporting period.",25-29,Ohcdk6q4Mk7,Ohcdk6q4Mk7
"VMMC_CIRC (N, TA, Age) TARGET v2: Voluntary Circumcised","VMMC_CIRC (N, TA, Age2017) TARGET",VMMC_CIRC_N_TA_Age2017_TARGET,QASYilHhPIK,"Number of males circumcised as part of the voluntary medical male circumcision (VMMC) for HIV prevention program within the preporting period.","< 2 months",yIlKECUAguI,yIlKECUAguI
"VMMC_CIRC (N, TA, Age) TARGET v2: Voluntary Circumcised","VMMC_CIRC (N, TA, Age2017) TARGET",VMMC_CIRC_N_TA_Age2017_TARGET,QASYilHhPIK,"Number of males circumcised as part of the voluntary medical male circumcision (VMMC) for HIV prevention program within the preporting period.","2 months - 9 years",SbKVR3Wthsw,SbKVR3Wthsw
"VMMC_CIRC (N, TA, Age) TARGET v2: Voluntary Circumcised","VMMC_CIRC (N, TA, Age2017) TARGET",VMMC_CIRC_N_TA_Age2017_TARGET,QASYilHhPIK,"Number of males circumcised as part of the voluntary medical male circumcision (VMMC) for HIV prevention program within the preporting period.",30-49,hD3BvEcvUxh,hD3BvEcvUxh
"VMMC_CIRC (N, TA, Age) TARGET v2: Voluntary Circumcised","VMMC_CIRC (N, TA, Age2017) TARGET",VMMC_CIRC_N_TA_Age2017_TARGET,QASYilHhPIK,"Number of males circumcised as part of the voluntary medical male circumcision (VMMC) for HIV prevention program within the preporting period.",50+,ODDj2z1OZHH,ODDj2z1OZHH
"VMMC_CIRC (N, TA) TARGET: Voluntary Circumcised","VMMC_CIRC (N, TA) TARGET",VMMC_CIRC_N_TA_TARGET,z3DF1jx3zUZ,"Number of males circumcised as part of the voluntary medical male circumcision (VMMC) for HIV prevention program within the preporting period.",default,HllvX50cXC0,HllvX50cXC0
"VMMC_CIRC (N, TA, Technique) TARGET: Voluntary Circumcised","VMMC_CIRC (N, TA, Technique) TARGET",VMMC_CIRC_N_TA_Technique_TARGET,BV4c3RVJY9Y,"Number of males circumcised as part of the voluntary medical male circumcision (VMMC) for HIV prevention program within the preporting period.","Device based",N7kM6E9aHSa,N7kM6E9aHSa
"VMMC_CIRC (N, TA, Technique) TARGET: Voluntary Circumcised","VMMC_CIRC (N, TA, Technique) TARGET",VMMC_CIRC_N_TA_Technique_TARGET,BV4c3RVJY9Y,"Number of males circumcised as part of the voluntary medical male circumcision (VMMC) for HIV prevention program within the preporting period.","Surgical Technique",foA8FjRmlkf,foA8FjRmlkf
"KP_MAT_SUBNAT (N, SUBNAT, Sex) TARGET: PWID on MAT","KP_MAT_SUBNAT (N, SUBNAT, Sex) TARGET",KP_MAT_SUBNAT_N_SUBNAT_Sex_TARGET,ctGo7s0K63z,"Number of people who inject drugs (PWID) on medication assisted therapy (MAT) for at least 6 months",Female,bHhcxwpICvc,bHhcxwpICvc
"KP_MAT_SUBNAT (N, SUBNAT, Sex) TARGET: PWID on MAT","KP_MAT_SUBNAT (N, SUBNAT, Sex) TARGET",KP_MAT_SUBNAT_N_SUBNAT_Sex_TARGET,ctGo7s0K63z,"Number of people who inject drugs (PWID) on medication assisted therapy (MAT) for at least 6 months",Male,pKlxpSVb56h,pKlxpSVb56h
"KP_MAT_SUBNAT (N, SUBNAT) TARGET: PWID on MAT","KP_MAT_SUBNAT (N, SUBNAT) TARGET",KP_MAT_SUBNAT_N_SUBNAT_TARGET,CShdIv7wNUB,"Number of people who inject drugs (PWID) on medication assisted therapy (MAT) for at least 6 months",default,HllvX50cXC0,HllvX50cXC0
